date,open,high,low,close,volume
2022-09-01 00:00:00-04:00,391.28269083344577,395.1567609326414,388.4443441829889,394.7982482910156,78740100
2022-09-02 00:00:00-04:00,398.6424313708159,399.91719360496876,388.73312520893785,390.63531494140625,99574100
2022-09-06 00:00:00-04:00,391.5217069190949,392.50764709558,386.8309840763645,389.1614074707031,76637400
2022-09-07 00:00:00-04:00,388.83274223995994,396.95936329916964,388.60370262209443,396.1526794433594,70964200
2022-09-08 00:00:00-04:00,393.77245891935064,399.22005176233506,392.5076350867595,398.7420349121094,80821700
2022-09-09 00:00:00-04:00,401.09236012785357,405.84286526277106,400.81350683802816,404.93658447265625,76618100
2022-09-12 00:00:00-04:00,407.1076836446478,410.0456273794545,406.78898546738606,409.2887268066406,69256300
2022-09-13 00:00:00-04:00,400.18608712590634,401.450910966257,390.3166560014087,391.4918212890625,122947100
2022-09-14 00:00:00-04:00,392.8562142263904,394.579147692955,389.519913084631,392.9856872558594,85023700
2022-09-15 00:00:00-04:00,391.35239526954655,394.34012229351475,387.1895029104063,388.5240173339844,87633800
2022-09-16 00:00:00-04:00,384.1400146484375,386.25,382.1099853515625,385.55999755859375,102806100
2022-09-19 00:00:00-04:00,382.260009765625,388.54998779296875,382.17999267578125,388.54998779296875,73278500
2022-09-20 00:00:00-04:00,385.05999755859375,386.1199951171875,381.20001220703125,384.0899963378906,77274900
2022-09-21 00:00:00-04:00,386.1099853515625,389.30999755859375,377.3800048828125,377.3900146484375,106746600
2022-09-22 00:00:00-04:00,376.5799865722656,378.29998779296875,373.44000244140625,374.2200012207031,89472600
2022-09-23 00:00:00-04:00,370.5799865722656,370.6199951171875,363.2900085449219,367.95001220703125,122210100
2022-09-26 00:00:00-04:00,366.4100036621094,370.2099914550781,363.0299987792969,364.30999755859375,92581200
2022-09-27 00:00:00-04:00,368.0199890136719,370.3999938964844,360.8699951171875,363.3800048828125,108294100
2022-09-28 00:00:00-04:00,364.3800048828125,372.29998779296875,362.6000061035156,370.5299987792969,110802200
2022-09-29 00:00:00-04:00,366.80999755859375,367.1099853515625,359.70001220703125,362.7900085449219,112952300
2022-09-30 00:00:00-04:00,361.79998779296875,365.9100036621094,357.0400085449219,357.17999267578125,153396100
2022-10-03 00:00:00-04:00,361.0799865722656,368.54998779296875,359.2099914550781,366.6099853515625,89756500
2022-10-04 00:00:00-04:00,372.3999938964844,378.0,366.57000732421875,377.9700012207031,103379500
